ACTION START 1200 0 START
ACTION QUERY 1200 10 Milošević Mira
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 105211
ACTION DOC 1200 35 EXAMINING_DOCUMENT 105211
ACTION SNIPPET 1200 35 SNIPPET_RELEVANT 105486
ACTION DOC 1200 55 EXAMINING_DOCUMENT 105486
ACTION SNIPPET 1200 55 SNIPPET_RELEVANT 106053
ACTION DOC 1200 75 EXAMINING_DOCUMENT 106053
ACTION SNIPPET 1200 75 SNIPPET_RELEVANT 104822
ACTION DOC 1200 95 EXAMINING_DOCUMENT 104822
ACTION SNIPPET 1200 95 SNIPPET_RELEVANT 104610
ACTION DOC 1200 115 EXAMINING_DOCUMENT 104610
ACTION SNIPPET 1200 115 SNIPPET_RELEVANT 1804619
ACTION DOC 1200 135 EXAMINING_DOCUMENT 1804619
ACTION QUERY 1200 145 Mira Markovic
ACTION SERP 1200 150 EXAMINE_SERP
ACTION SNIPPET 1200 150 SNIPPET_RELEVANT 1746965
ACTION DOC 1200 170 EXAMINING_DOCUMENT 1746965
ACTION SNIPPET 1200 170 SNIPPET_RELEVANT 1311050
ACTION DOC 1200 190 EXAMINING_DOCUMENT 1311050
ACTION MARK 1200 193 CONSIDERED_RELEVANT 1311050
ACTION SNIPPET 1200 193 SNIPPET_RELEVANT 1111696
ACTION DOC 1200 213 EXAMINING_DOCUMENT 1111696
ACTION MARK 1200 216 CONSIDERED_RELEVANT 1111696
ACTION SNIPPET 1200 216 SNIPPET_RELEVANT 1483748
ACTION DOC 1200 236 EXAMINING_DOCUMENT 1483748
ACTION SNIPPET 1200 236 SNIPPET_RELEVANT 1276013
ACTION DOC 1200 256 EXAMINING_DOCUMENT 1276013
ACTION SNIPPET 1200 256 SNIPPET_RELEVANT 1091794
ACTION DOC 1200 276 EXAMINING_DOCUMENT 1091794
ACTION QUERY 1200 286 Milosevic wife
ACTION SERP 1200 291 EXAMINE_SERP
ACTION SNIPPET 1200 291 SEEN_PREVIOUSLY 1311050
