ACTION START 1200 0 START
ACTION QUERY 1200 10 hydrogen energy
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 1843716
ACTION DOC 1200 35 EXAMINING_DOCUMENT 1843716
ACTION MARK 1200 38 CONSIDERED_RELEVANT 1843716
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 1742839
ACTION DOC 1200 58 EXAMINING_DOCUMENT 1742839
ACTION MARK 1200 61 CONSIDERED_RELEVANT 1742839
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT 758337
ACTION DOC 1200 81 EXAMINING_DOCUMENT 758337
ACTION MARK 1200 84 CONSIDERED_RELEVANT 758337
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT 1556630
ACTION DOC 1200 104 EXAMINING_DOCUMENT 1556630
ACTION MARK 1200 107 CONSIDERED_RELEVANT 1556630
ACTION SNIPPET 1200 107 SNIPPET_RELEVANT 1534757
ACTION DOC 1200 127 EXAMINING_DOCUMENT 1534757
ACTION SNIPPET 1200 127 SNIPPET_RELEVANT 1507525
ACTION DOC 1200 147 EXAMINING_DOCUMENT 1507525
ACTION MARK 1200 150 CONSIDERED_RELEVANT 1507525
ACTION QUERY 1200 160 hydrogen fuel
ACTION SERP 1200 165 EXAMINE_SERP
ACTION SNIPPET 1200 165 SNIPPET_RELEVANT 148096
ACTION DOC 1200 185 EXAMINING_DOCUMENT 148096
ACTION MARK 1200 188 CONSIDERED_RELEVANT 148096
ACTION SNIPPET 1200 188 SNIPPET_RELEVANT 1677826
ACTION DOC 1200 208 EXAMINING_DOCUMENT 1677826
ACTION MARK 1200 211 CONSIDERED_RELEVANT 1677826
ACTION SNIPPET 1200 211 SEEN_PREVIOUSLY 1534757
ACTION SNIPPET 1200 211 SNIPPET_RELEVANT 379451
ACTION DOC 1200 231 EXAMINING_DOCUMENT 379451
ACTION MARK 1200 234 CONSIDERED_RELEVANT 379451
ACTION SNIPPET 1200 234 SNIPPET_RELEVANT 1461542
ACTION DOC 1200 254 EXAMINING_DOCUMENT 1461542
ACTION MARK 1200 257 CONSIDERED_RELEVANT 1461542
ACTION SNIPPET 1200 257 SNIPPET_RELEVANT 1375664
ACTION DOC 1200 277 EXAMINING_DOCUMENT 1375664
ACTION MARK 1200 280 CONSIDERED_RELEVANT 1375664
ACTION QUERY 1200 290 fusion research
ACTION SERP 1200 295 EXAMINE_SERP
ACTION SNIPPET 1200 295 SNIPPET_RELEVANT 1631470
