ACTION START 1200 0 START
ACTION QUERY 1200 10 tropical storms caused
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 176935
ACTION DOC 1200 35 EXAMINING_DOCUMENT 176935
ACTION MARK 1200 38 CONSIDERED_RELEVANT 176935
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 264198
ACTION DOC 1200 58 EXAMINING_DOCUMENT 264198
ACTION MARK 1200 61 CONSIDERED_RELEVANT 264198
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT 1769057
ACTION DOC 1200 81 EXAMINING_DOCUMENT 1769057
ACTION MARK 1200 84 CONSIDERED_RELEVANT 1769057
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT 726701
ACTION DOC 1200 104 EXAMINING_DOCUMENT 726701
ACTION MARK 1200 107 CONSIDERED_RELEVANT 726701
ACTION SNIPPET 1200 107 SNIPPET_NOT_RELEVANT 1604408
ACTION SNIPPET 1200 107 SNIPPET_RELEVANT 1728581
ACTION DOC 1200 127 EXAMINING_DOCUMENT 1728581
ACTION SNIPPET 1200 127 SNIPPET_NOT_RELEVANT 300987
ACTION SNIPPET 1200 127 SNIPPET_RELEVANT 792143
ACTION DOC 1200 147 EXAMINING_DOCUMENT 792143
ACTION MARK 1200 150 CONSIDERED_RELEVANT 792143
ACTION QUERY 1200 160 tropical storms damage
ACTION SERP 1200 165 EXAMINE_SERP
ACTION SNIPPET 1200 165 SEEN_PREVIOUSLY 726701
ACTION SNIPPET 1200 165 SNIPPET_RELEVANT 1604408
ACTION DOC 1200 185 EXAMINING_DOCUMENT 1604408
ACTION SNIPPET 1200 185 SNIPPET_RELEVANT 254456
ACTION DOC 1200 205 EXAMINING_DOCUMENT 254456
ACTION MARK 1200 208 CONSIDERED_RELEVANT 254456
ACTION SNIPPET 1200 208 SNIPPET_RELEVANT 271487
ACTION DOC 1200 228 EXAMINING_DOCUMENT 271487
ACTION MARK 1200 231 CONSIDERED_RELEVANT 271487
ACTION SNIPPET 1200 231 SNIPPET_RELEVANT 1142353
ACTION DOC 1200 251 EXAMINING_DOCUMENT 1142353
