ACTION START 1200 0 START
ACTION QUERY 1200 10 food stamps increase
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 546738
ACTION DOC 1200 35 EXAMINING_DOCUMENT 546738
ACTION MARK 1200 38 CONSIDERED_RELEVANT 546738
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 378037
ACTION DOC 1200 58 EXAMINING_DOCUMENT 378037
ACTION MARK 1200 61 CONSIDERED_RELEVANT 378037
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT 345231
ACTION DOC 1200 81 EXAMINING_DOCUMENT 345231
ACTION MARK 1200 84 CONSIDERED_RELEVANT 345231
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT 1697024
ACTION DOC 1200 104 EXAMINING_DOCUMENT 1697024
ACTION MARK 1200 107 CONSIDERED_RELEVANT 1697024
ACTION SNIPPET 1200 107 SNIPPET_NOT_RELEVANT 483926
ACTION SNIPPET 1200 107 SNIPPET_RELEVANT 747191
ACTION DOC 1200 127 EXAMINING_DOCUMENT 747191
ACTION SNIPPET 1200 127 SNIPPET_NOT_RELEVANT 701906
ACTION SNIPPET 1200 127 SNIPPET_RELEVANT 598802
ACTION DOC 1200 147 EXAMINING_DOCUMENT 598802
ACTION MARK 1200 150 CONSIDERED_RELEVANT 598802
ACTION QUERY 1200 160 food stamp benefits rise
ACTION SERP 1200 165 EXAMINE_SERP
ACTION SNIPPET 1200 165 SEEN_PREVIOUSLY 345231
ACTION SNIPPET 1200 165 SEEN_PREVIOUSLY 747191
ACTION SNIPPET 1200 165 SNIPPET_RELEVANT 483926
ACTION DOC 1200 185 EXAMINING_DOCUMENT 483926
ACTION SNIPPET 1200 185 SNIPPET_RELEVANT 1087831
ACTION DOC 1200 205 EXAMINING_DOCUMENT 1087831
ACTION MARK 1200 208 CONSIDERED_RELEVANT 1087831
ACTION SNIPPET 1200 208 SNIPPET_RELEVANT 1847164
ACTION DOC 1200 228 EXAMINING_DOCUMENT 1847164
ACTION MARK 1200 231 CONSIDERED_RELEVANT 1847164
ACTION SNIPPET 1200 231 SNIPPET_RELEVANT 1444144
ACTION DOC 1200 251 EXAMINING_DOCUMENT 1444144
ACTION MARK 1200 254 CONSIDERED_RELEVANT 1444144
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT 1414563
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT 976121
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT 164266
ACTION SNIPPET 1200 254 SNIPPET_RELEVANT 1755181
ACTION DOC 1200 274 EXAMINING_DOCUMENT 1755181
ACTION MARK 1200 277 CONSIDERED_RELEVANT 1755181
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT 1061467
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT 748788
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT 1451428
ACTION SNIPPET 1200 277 SEEN_PREVIOUSLY 546738
ACTION SNIPPET 1200 277 SNIPPET_RELEVANT 868787
ACTION DOC 1200 297 EXAMINING_DOCUMENT 868787
