ACTION START 1200 0 START
ACTION QUERY 1200 10 Milosevic wife
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 1311050
ACTION DOC 1200 35 EXAMINING_DOCUMENT 1311050
ACTION MARK 1200 38 CONSIDERED_RELEVANT 1311050
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 1065912
ACTION DOC 1200 58 EXAMINING_DOCUMENT 1065912
ACTION SNIPPET 1200 58 SNIPPET_RELEVANT 1237317
ACTION DOC 1200 78 EXAMINING_DOCUMENT 1237317
ACTION SNIPPET 1200 78 SNIPPET_RELEVANT 1282676
ACTION DOC 1200 98 EXAMINING_DOCUMENT 1282676
ACTION MARK 1200 101 CONSIDERED_RELEVANT 1282676
ACTION SNIPPET 1200 101 SNIPPET_RELEVANT 1002228
ACTION DOC 1200 121 EXAMINING_DOCUMENT 1002228
ACTION SNIPPET 1200 121 SNIPPET_RELEVANT 1483748
ACTION DOC 1200 141 EXAMINING_DOCUMENT 1483748
ACTION QUERY 1200 151 Mirjana Markovic
ACTION SERP 1200 156 EXAMINE_SERP
ACTION SNIPPET 1200 156 SNIPPET_RELEVANT 1111696
ACTION DOC 1200 176 EXAMINING_DOCUMENT 1111696
ACTION MARK 1200 179 CONSIDERED_RELEVANT 1111696
ACTION SNIPPET 1200 179 SNIPPET_RELEVANT 1276231
ACTION DOC 1200 199 EXAMINING_DOCUMENT 1276231
ACTION SNIPPET 1200 199 SNIPPET_RELEVANT 1276013
ACTION DOC 1200 219 EXAMINING_DOCUMENT 1276013
ACTION SNIPPET 1200 219 SNIPPET_RELEVANT 781497
ACTION DOC 1200 239 EXAMINING_DOCUMENT 781497
ACTION MARK 1200 242 CONSIDERED_RELEVANT 781497
ACTION SNIPPET 1200 242 SNIPPET_RELEVANT 1746708
ACTION DOC 1200 262 EXAMINING_DOCUMENT 1746708
ACTION MARK 1200 265 CONSIDERED_RELEVANT 1746708
ACTION SNIPPET 1200 265 SNIPPET_RELEVANT 1109989
ACTION DOC 1200 285 EXAMINING_DOCUMENT 1109989
ACTION QUERY 1200 295 Mira Markovic
ACTION SERP 1200 300 EXAMINE_SERP
ACTION SNIPPET 1200 300 SNIPPET_RELEVANT 1746965
ACTION DOC 1200 320 EXAMINING_DOCUMENT 1746965
ACTION SNIPPET 1200 320 SEEN_PREVIOUSLY 1311050
ACTION SNIPPET 1200 320 SEEN_PREVIOUSLY 1111696
ACTION SNIPPET 1200 320 SEEN_PREVIOUSLY 1483748
ACTION SNIPPET 1200 320 SEEN_PREVIOUSLY 1276013
ACTION SNIPPET 1200 320 SNIPPET_RELEVANT 1091794
ACTION DOC 1200 340 EXAMINING_DOCUMENT 1091794
ACTION SNIPPET 1200 340 SNIPPET_RELEVANT 1360689
ACTION DOC 1200 360 EXAMINING_DOCUMENT 1360689
ACTION SNIPPET 1200 360 SNIPPET_RELEVANT 1230864
ACTION DOC 1200 380 EXAMINING_DOCUMENT 1230864
ACTION SNIPPET 1200 380 SNIPPET_RELEVANT 1273618
ACTION DOC 1200 400 EXAMINING_DOCUMENT 1273618
ACTION SNIPPET 1200 400 SNIPPET_RELEVANT 316715
ACTION DOC 1200 420 EXAMINING_DOCUMENT 316715
ACTION QUERY 1200 430 Mira Milosevic
ACTION SERP 1200 435 EXAMINE_SERP
ACTION SNIPPET 1200 435 SEEN_PREVIOUSLY 1746965
ACTION SNIPPET 1200 435 SEEN_PREVIOUSLY 1311050
ACTION SNIPPET 1200 435 SEEN_PREVIOUSLY 1483748
ACTION SNIPPET 1200 435 SNIPPET_RELEVANT 945810
ACTION DOC 1200 455 EXAMINING_DOCUMENT 945810
ACTION SNIPPET 1200 455 SEEN_PREVIOUSLY 1002228
ACTION SNIPPET 1200 455 SNIPPET_RELEVANT 817012
ACTION DOC 1200 475 EXAMINING_DOCUMENT 817012
ACTION MARK 1200 478 CONSIDERED_RELEVANT 817012
ACTION SNIPPET 1200 478 SNIPPET_RELEVANT 1282479
ACTION DOC 1200 498 EXAMINING_DOCUMENT 1282479
ACTION SNIPPET 1200 498 SNIPPET_RELEVANT 1116385
ACTION DOC 1200 518 EXAMINING_DOCUMENT 1116385
ACTION SNIPPET 1200 518 SEEN_PREVIOUSLY 1091794
ACTION SNIPPET 1200 518 SNIPPET_RELEVANT 1607906
ACTION DOC 1200 538 EXAMINING_DOCUMENT 1607906
ACTION SNIPPET 1200 538 SEEN_PREVIOUSLY 1111696
ACTION SNIPPET 1200 538 SNIPPET_RELEVANT 1125420
ACTION DOC 1200 558 EXAMINING_DOCUMENT 1125420
ACTION QUERY 1200 568 Mirjana Markovic biography
ACTION SERP 1200 573 EXAMINE_SERP
ACTION SNIPPET 1200 573 SEEN_PREVIOUSLY 1111696
ACTION SNIPPET 1200 573 SEEN_PREVIOUSLY 1276231
ACTION SNIPPET 1200 573 SNIPPET_RELEVANT 1479325
ACTION DOC 1200 593 EXAMINING_DOCUMENT 1479325
ACTION SNIPPET 1200 593 SEEN_PREVIOUSLY 1276013
ACTION SNIPPET 1200 593 SEEN_PREVIOUSLY 781497
ACTION SNIPPET 1200 593 SEEN_PREVIOUSLY 1746708
ACTION SNIPPET 1200 593 SEEN_PREVIOUSLY 1109989
ACTION SNIPPET 1200 593 SNIPPET_RELEVANT 1273834
ACTION DOC 1200 613 EXAMINING_DOCUMENT 1273834
ACTION SNIPPET 1200 613 SNIPPET_RELEVANT 1305509
ACTION DOC 1200 633 EXAMINING_DOCUMENT 1305509
ACTION SNIPPET 1200 633 SNIPPET_RELEVANT 1478169
ACTION DOC 1200 653 EXAMINING_DOCUMENT 1478169
ACTION MARK 1200 656 CONSIDERED_RELEVANT 1478169
ACTION SNIPPET 1200 656 SNIPPET_RELEVANT 1100239
ACTION DOC 1200 676 EXAMINING_DOCUMENT 1100239
ACTION MARK 1200 679 CONSIDERED_RELEVANT 1100239
ACTION SNIPPET 1200 679 SEEN_PREVIOUSLY 1746965
