ACTION START 1200 0 START
ACTION QUERY 1200 10 human stampede mention
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 1547011
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 88690
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 1315825
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 1450252
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 501017
ACTION DOC 1200 35 EXAMINING_DOCUMENT 501017
ACTION MARK 1200 38 CONSIDERED_RELEVANT 501017
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT 818047
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT 492316
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 1698991
ACTION DOC 1200 58 EXAMINING_DOCUMENT 1698991
ACTION MARK 1200 61 CONSIDERED_RELEVANT 1698991
ACTION SNIPPET 1200 61 SNIPPET_NOT_RELEVANT 363729
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT 100763
ACTION DOC 1200 81 EXAMINING_DOCUMENT 100763
ACTION MARK 1200 84 CONSIDERED_RELEVANT 100763
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 310048
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 1405180
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 423877
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT 1285941
ACTION DOC 1200 104 EXAMINING_DOCUMENT 1285941
ACTION MARK 1200 107 CONSIDERED_RELEVANT 1285941
ACTION SNIPPET 1200 107 SNIPPET_NOT_RELEVANT 1774060
ACTION SNIPPET 1200 107 SNIPPET_RELEVANT 729914
ACTION DOC 1200 127 EXAMINING_DOCUMENT 729914
ACTION MARK 1200 130 CONSIDERED_RELEVANT 729914
ACTION QUERY 1200 140 human stampede event
ACTION SERP 1200 145 EXAMINE_SERP
ACTION SNIPPET 1200 145 SNIPPET_RELEVANT 1004585
ACTION DOC 1200 165 EXAMINING_DOCUMENT 1004585
ACTION MARK 1200 168 CONSIDERED_RELEVANT 1004585
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 122234
ACTION SNIPPET 1200 168 SNIPPET_RELEVANT 746477
ACTION DOC 1200 188 EXAMINING_DOCUMENT 746477
ACTION MARK 1200 191 CONSIDERED_RELEVANT 746477
ACTION SNIPPET 1200 191 SNIPPET_NOT_RELEVANT 1238100
ACTION SNIPPET 1200 191 SNIPPET_NOT_RELEVANT 1393201
ACTION SNIPPET 1200 191 SNIPPET_RELEVANT 1467225
ACTION DOC 1200 211 EXAMINING_DOCUMENT 1467225
ACTION MARK 1200 214 CONSIDERED_RELEVANT 1467225
ACTION SNIPPET 1200 214 SNIPPET_RELEVANT 1076546
ACTION DOC 1200 234 EXAMINING_DOCUMENT 1076546
ACTION MARK 1200 237 CONSIDERED_RELEVANT 1076546
ACTION SNIPPET 1200 237 SNIPPET_RELEVANT 497129
ACTION DOC 1200 257 EXAMINING_DOCUMENT 497129
ACTION MARK 1200 260 CONSIDERED_RELEVANT 497129
ACTION QUERY 1200 270 human stampede reports
ACTION SERP 1200 275 EXAMINE_SERP
ACTION SNIPPET 1200 275 SEEN_PREVIOUSLY 1698991
ACTION SNIPPET 1200 275 SNIPPET_RELEVANT 1753507
ACTION DOC 1200 295 EXAMINING_DOCUMENT 1753507
ACTION MARK 1200 298 CONSIDERED_RELEVANT 1753507
ACTION SNIPPET 1200 298 SNIPPET_RELEVANT 1515218
ACTION DOC 1200 318 EXAMINING_DOCUMENT 1515218
ACTION MARK 1200 321 CONSIDERED_RELEVANT 1515218
ACTION SNIPPET 1200 321 SNIPPET_NOT_RELEVANT 1315825
ACTION SNIPPET 1200 321 SNIPPET_RELEVANT 127391
ACTION DOC 1200 341 EXAMINING_DOCUMENT 127391
ACTION MARK 1200 344 CONSIDERED_RELEVANT 127391
ACTION SNIPPET 1200 344 SNIPPET_NOT_RELEVANT 1450252
ACTION SNIPPET 1200 344 SNIPPET_RELEVANT 1789645
ACTION DOC 1200 364 EXAMINING_DOCUMENT 1789645
ACTION MARK 1200 367 CONSIDERED_RELEVANT 1789645
ACTION SNIPPET 1200 367 SNIPPET_NOT_RELEVANT 818047
ACTION SNIPPET 1200 367 SNIPPET_NOT_RELEVANT 492316
ACTION SNIPPET 1200 367 SNIPPET_RELEVANT 365725
ACTION DOC 1200 387 EXAMINING_DOCUMENT 365725
ACTION MARK 1200 390 CONSIDERED_RELEVANT 365725
ACTION QUERY 1200 400 human stampede resulted
ACTION SERP 1200 405 EXAMINE_SERP
ACTION SNIPPET 1200 405 SNIPPET_NOT_RELEVANT 1315825
ACTION SNIPPET 1200 405 SNIPPET_NOT_RELEVANT 1450252
ACTION SNIPPET 1200 405 SNIPPET_NOT_RELEVANT 36337
ACTION SNIPPET 1200 405 SNIPPET_RELEVANT 1522020
ACTION DOC 1200 425 EXAMINING_DOCUMENT 1522020
ACTION MARK 1200 428 CONSIDERED_RELEVANT 1522020
ACTION SNIPPET 1200 428 SNIPPET_NOT_RELEVANT 818047
ACTION SNIPPET 1200 428 SNIPPET_NOT_RELEVANT 492316
ACTION SNIPPET 1200 428 SNIPPET_NOT_RELEVANT 619444
ACTION SNIPPET 1200 428 SEEN_PREVIOUSLY 1698991
ACTION SNIPPET 1200 428 SNIPPET_NOT_RELEVANT 1009032
ACTION SNIPPET 1200 428 SNIPPET_NOT_RELEVANT 363729
ACTION SNIPPET 1200 428 SNIPPET_NOT_RELEVANT 1019081
ACTION SNIPPET 1200 428 SNIPPET_NOT_RELEVANT 709907
ACTION SNIPPET 1200 428 SNIPPET_NOT_RELEVANT 276863
ACTION SNIPPET 1200 428 SEEN_PREVIOUSLY 100763
ACTION SNIPPET 1200 428 SNIPPET_NOT_RELEVANT 423877
ACTION SNIPPET 1200 428 SEEN_PREVIOUSLY 1285941
ACTION SNIPPET 1200 428 SNIPPET_RELEVANT 1513699
ACTION DOC 1200 448 EXAMINING_DOCUMENT 1513699
ACTION MARK 1200 451 CONSIDERED_RELEVANT 1513699
ACTION SNIPPET 1200 451 SNIPPET_NOT_RELEVANT 1199011
ACTION SNIPPET 1200 451 SEEN_PREVIOUSLY 1515218
ACTION SNIPPET 1200 451 SNIPPET_RELEVANT 127053
ACTION DOC 1200 471 EXAMINING_DOCUMENT 127053
ACTION MARK 1200 474 CONSIDERED_RELEVANT 127053
ACTION SNIPPET 1200 474 SNIPPET_NOT_RELEVANT 500222
ACTION SNIPPET 1200 474 SEEN_PREVIOUSLY 1789645
ACTION SNIPPET 1200 474 SEEN_PREVIOUSLY 127391
ACTION SNIPPET 1200 474 SNIPPET_NOT_RELEVANT 1148102
ACTION SNIPPET 1200 474 SNIPPET_NOT_RELEVANT 709761
ACTION SNIPPET 1200 474 SEEN_PREVIOUSLY 1753507
ACTION SNIPPET 1200 474 SNIPPET_NOT_RELEVANT 1061863
ACTION SNIPPET 1200 474 SNIPPET_RELEVANT 808151
ACTION DOC 1200 494 EXAMINING_DOCUMENT 808151
ACTION MARK 1200 497 CONSIDERED_RELEVANT 808151
ACTION SNIPPET 1200 497 SNIPPET_NOT_RELEVANT 494631
ACTION SNIPPET 1200 497 SEEN_PREVIOUSLY 365725
ACTION SNIPPET 1200 497 SNIPPET_NOT_RELEVANT 1716819
ACTION SNIPPET 1200 497 SNIPPET_RELEVANT 79150
ACTION DOC 1200 517 EXAMINING_DOCUMENT 79150
ACTION MARK 1200 520 CONSIDERED_RELEVANT 79150
ACTION QUERY 1200 530 human stampede deaths
ACTION SERP 1200 535 EXAMINE_SERP
ACTION SNIPPET 1200 535 SNIPPET_NOT_RELEVANT 1315825
ACTION SNIPPET 1200 535 SEEN_PREVIOUSLY 1698991
ACTION SNIPPET 1200 535 SEEN_PREVIOUSLY 746477
ACTION SNIPPET 1200 535 SNIPPET_RELEVANT 365604
ACTION DOC 1200 555 EXAMINING_DOCUMENT 365604
ACTION MARK 1200 558 CONSIDERED_RELEVANT 365604
ACTION SNIPPET 1200 558 SEEN_PREVIOUSLY 365725
ACTION SNIPPET 1200 558 SEEN_PREVIOUSLY 1789645
ACTION SNIPPET 1200 558 SEEN_PREVIOUSLY 1515218
ACTION SNIPPET 1200 558 SNIPPET_RELEVANT 748718
ACTION DOC 1200 578 EXAMINING_DOCUMENT 748718
ACTION MARK 1200 581 CONSIDERED_RELEVANT 748718
ACTION SNIPPET 1200 581 SNIPPET_NOT_RELEVANT 1555757
ACTION SNIPPET 1200 581 SEEN_PREVIOUSLY 1004585
ACTION SNIPPET 1200 581 SNIPPET_NOT_RELEVANT 1450252
ACTION SNIPPET 1200 581 SEEN_PREVIOUSLY 1467225
ACTION SNIPPET 1200 581 SNIPPET_RELEVANT 369520
ACTION DOC 1200 601 EXAMINING_DOCUMENT 369520
ACTION MARK 1200 604 CONSIDERED_RELEVANT 369520
ACTION SNIPPET 1200 604 SNIPPET_NOT_RELEVANT 818047
ACTION SNIPPET 1200 604 SNIPPET_RELEVANT 1698889
ACTION DOC 1200 624 EXAMINING_DOCUMENT 1698889
ACTION MARK 1200 627 CONSIDERED_RELEVANT 1698889
ACTION SNIPPET 1200 627 SNIPPET_NOT_RELEVANT 492316
ACTION SNIPPET 1200 627 SNIPPET_NOT_RELEVANT 1511264
ACTION SNIPPET 1200 627 SNIPPET_RELEVANT 1698784
ACTION DOC 1200 647 EXAMINING_DOCUMENT 1698784
ACTION MARK 1200 650 CONSIDERED_RELEVANT 1698784
ACTION QUERY 1200 660 human stampede people
ACTION SERP 1200 665 EXAMINE_SERP
ACTION SNIPPET 1200 665 SNIPPET_NOT_RELEVANT 1450252
ACTION SNIPPET 1200 665 SNIPPET_NOT_RELEVANT 492316
ACTION SNIPPET 1200 665 SEEN_PREVIOUSLY 1698991
ACTION SNIPPET 1200 665 SEEN_PREVIOUSLY 100763
ACTION SNIPPET 1200 665 SNIPPET_NOT_RELEVANT 1315825
ACTION SNIPPET 1200 665 SEEN_PREVIOUSLY 1515218
ACTION SNIPPET 1200 665 SEEN_PREVIOUSLY 127391
ACTION SNIPPET 1200 665 SEEN_PREVIOUSLY 127053
ACTION SNIPPET 1200 665 SEEN_PREVIOUSLY 1789645
ACTION SNIPPET 1200 665 SEEN_PREVIOUSLY 1753507
ACTION SNIPPET 1200 665 SNIPPET_NOT_RELEVANT 818047
ACTION SNIPPET 1200 665 SEEN_PREVIOUSLY 79150
ACTION SNIPPET 1200 665 SEEN_PREVIOUSLY 808151
ACTION SNIPPET 1200 665 SEEN_PREVIOUSLY 365725
ACTION SNIPPET 1200 665 SEEN_PREVIOUSLY 365604
ACTION SNIPPET 1200 665 SEEN_PREVIOUSLY 746477
ACTION SNIPPET 1200 665 SNIPPET_NOT_RELEVANT 147204
ACTION SNIPPET 1200 665 SEEN_PREVIOUSLY 1004585
ACTION SNIPPET 1200 665 SNIPPET_NOT_RELEVANT 363729
ACTION SNIPPET 1200 665 SEEN_PREVIOUSLY 1698889
ACTION SNIPPET 1200 665 SNIPPET_NOT_RELEVANT 1547010
ACTION SNIPPET 1200 665 SEEN_PREVIOUSLY 1522020
ACTION SNIPPET 1200 665 SNIPPET_NOT_RELEVANT 278899
ACTION SNIPPET 1200 665 SNIPPET_RELEVANT 1475110
ACTION DOC 1200 685 EXAMINING_DOCUMENT 1475110
ACTION MARK 1200 688 CONSIDERED_RELEVANT 1475110
ACTION SNIPPET 1200 688 SEEN_PREVIOUSLY 1467225
ACTION SNIPPET 1200 688 SNIPPET_RELEVANT 1738401
ACTION DOC 1200 708 EXAMINING_DOCUMENT 1738401
ACTION MARK 1200 711 CONSIDERED_RELEVANT 1738401
ACTION SNIPPET 1200 711 SEEN_PREVIOUSLY 748718
ACTION SNIPPET 1200 711 SNIPPET_NOT_RELEVANT 516501
ACTION SNIPPET 1200 711 SNIPPET_NOT_RELEVANT 1393201
ACTION SNIPPET 1200 711 SNIPPET_RELEVANT 729106
ACTION DOC 1200 731 EXAMINING_DOCUMENT 729106
ACTION MARK 1200 734 CONSIDERED_RELEVANT 729106
ACTION SNIPPET 1200 734 SNIPPET_RELEVANT 731502
ACTION DOC 1200 754 EXAMINING_DOCUMENT 731502
ACTION MARK 1200 757 CONSIDERED_RELEVANT 731502
ACTION SNIPPET 1200 757 SNIPPET_NOT_RELEVANT 1547011
ACTION SNIPPET 1200 757 SNIPPET_NOT_RELEVANT 423877
ACTION SNIPPET 1200 757 SEEN_PREVIOUSLY 1285941
ACTION SNIPPET 1200 757 SNIPPET_RELEVANT 174054
ACTION DOC 1200 777 EXAMINING_DOCUMENT 174054
ACTION MARK 1200 780 CONSIDERED_RELEVANT 174054
ACTION QUERY 1200 790 human stampede killed
ACTION SERP 1200 795 EXAMINE_SERP
ACTION SNIPPET 1200 795 SEEN_PREVIOUSLY 100763
ACTION SNIPPET 1200 795 SEEN_PREVIOUSLY 1698991
ACTION SNIPPET 1200 795 SEEN_PREVIOUSLY 127053
ACTION SNIPPET 1200 795 SEEN_PREVIOUSLY 1789645
ACTION SNIPPET 1200 795 SEEN_PREVIOUSLY 1753507
ACTION SNIPPET 1200 795 SEEN_PREVIOUSLY 79150
ACTION SNIPPET 1200 795 SEEN_PREVIOUSLY 127391
ACTION SNIPPET 1200 795 SEEN_PREVIOUSLY 1285941
ACTION SNIPPET 1200 795 SEEN_PREVIOUSLY 808151
ACTION SNIPPET 1200 795 SEEN_PREVIOUSLY 1515218
ACTION SNIPPET 1200 795 SNIPPET_RELEVANT 1293154
ACTION DOC 1200 815 EXAMINING_DOCUMENT 1293154
ACTION MARK 1200 818 CONSIDERED_RELEVANT 1293154
ACTION SNIPPET 1200 818 SEEN_PREVIOUSLY 1467225
ACTION SNIPPET 1200 818 SEEN_PREVIOUSLY 1698889
ACTION SNIPPET 1200 818 SEEN_PREVIOUSLY 731502
ACTION SNIPPET 1200 818 SNIPPET_RELEVANT 1699122
ACTION DOC 1200 838 EXAMINING_DOCUMENT 1699122
ACTION MARK 1200 841 CONSIDERED_RELEVANT 1699122
ACTION SNIPPET 1200 841 SEEN_PREVIOUSLY 748718
ACTION SNIPPET 1200 841 SNIPPET_RELEVANT 1783796
ACTION DOC 1200 861 EXAMINING_DOCUMENT 1783796
ACTION MARK 1200 864 CONSIDERED_RELEVANT 1783796
ACTION SNIPPET 1200 864 SEEN_PREVIOUSLY 1475110
ACTION SNIPPET 1200 864 SNIPPET_RELEVANT 730671
ACTION DOC 1200 884 EXAMINING_DOCUMENT 730671
ACTION MARK 1200 887 CONSIDERED_RELEVANT 730671
ACTION SNIPPET 1200 887 SNIPPET_RELEVANT 367335
ACTION DOC 1200 907 EXAMINING_DOCUMENT 367335
ACTION MARK 1200 910 CONSIDERED_RELEVANT 367335
ACTION QUERY 1200 920 human stampede animal
ACTION SERP 1200 925 EXAMINE_SERP
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 88690
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 1218036
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 943322
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 1716819
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 1156635
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 36433
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 694303
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 676563
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 1324014
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 328697
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 1511264
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 983408
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 1476599
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 964090
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 1238100
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 695724
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 931635
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 1315825
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 1849875
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 1450252
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 1668973
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 776437
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 122234
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 1824570
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 818047
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 492316
ACTION SNIPPET 1200 925 SEEN_PREVIOUSLY 1698991
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 363729
ACTION SNIPPET 1200 925 SEEN_PREVIOUSLY 100763
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 171337
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 423877
ACTION SNIPPET 1200 925 SEEN_PREVIOUSLY 1285941
ACTION SNIPPET 1200 925 SEEN_PREVIOUSLY 1515218
ACTION SNIPPET 1200 925 SEEN_PREVIOUSLY 127053
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 336659
ACTION SNIPPET 1200 925 SEEN_PREVIOUSLY 1789645
ACTION SNIPPET 1200 925 SEEN_PREVIOUSLY 127391
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 1343878
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 1635685
ACTION SNIPPET 1200 925 SEEN_PREVIOUSLY 1753507
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 1061863
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 1744047
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 868148
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 868030
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 991963
ACTION SNIPPET 1200 925 SEEN_PREVIOUSLY 808151
ACTION SNIPPET 1200 925 SEEN_PREVIOUSLY 365725
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 145120
ACTION SNIPPET 1200 925 SEEN_PREVIOUSLY 79150
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 675342
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 501998
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 501997
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 424917
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 1466168
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 888293
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 359652
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 398083
ACTION SNIPPET 1200 925 SEEN_PREVIOUSLY 365604
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 1756275
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 1393201
ACTION SNIPPET 1200 925 SEEN_PREVIOUSLY 1475110
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 1491309
ACTION SNIPPET 1200 925 SEEN_PREVIOUSLY 1698889
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 1656778
ACTION SNIPPET 1200 925 SEEN_PREVIOUSLY 746477
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 782438
ACTION SNIPPET 1200 925 SEEN_PREVIOUSLY 1004585
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 436949
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 1671598
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 178545
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 832671
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 305830
ACTION SNIPPET 1200 925 SEEN_PREVIOUSLY 1467225
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 1547010
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 1800968
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 147204
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 497598
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 1796963
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 587520
ACTION SNIPPET 1200 925 SEEN_PREVIOUSLY 748718
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 101759
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 183615
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 1122241
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 1183047
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 219541
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 1615949
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 516501
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 540730
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 1412062
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 1030774
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 689774
ACTION SNIPPET 1200 925 SEEN_PREVIOUSLY 1522020
ACTION SNIPPET 1200 925 SEEN_PREVIOUSLY 1293154
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 289412
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 345876
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 1300037
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 372331
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 1555757
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 1263293
ACTION SNIPPET 1200 925 SNIPPET_NOT_RELEVANT 114735
INFO SERP_END_REACHED 
ACTION QUERY 1200 935 human stampede public
ACTION SERP 1200 940 EXAMINE_SERP
ACTION SNIPPET 1200 940 SEEN_PREVIOUSLY 808151
ACTION SNIPPET 1200 940 SNIPPET_NOT_RELEVANT 1315825
ACTION SNIPPET 1200 940 SNIPPET_NOT_RELEVANT 1450252
ACTION SNIPPET 1200 940 SNIPPET_NOT_RELEVANT 818047
ACTION SNIPPET 1200 940 SNIPPET_NOT_RELEVANT 492316
ACTION SNIPPET 1200 940 SNIPPET_NOT_RELEVANT 619444
ACTION SNIPPET 1200 940 SNIPPET_NOT_RELEVANT 1426186
ACTION SNIPPET 1200 940 SNIPPET_NOT_RELEVANT 485041
ACTION SNIPPET 1200 940 SEEN_PREVIOUSLY 1698991
ACTION SNIPPET 1200 940 SNIPPET_RELEVANT 1698852
ACTION DOC 1200 960 EXAMINING_DOCUMENT 1698852
