ACTION START 1200 0 START
ACTION QUERY 1200 10 tunnel collapse
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 1801583
ACTION DOC 1200 35 EXAMINING_DOCUMENT 1801583
ACTION MARK 1200 38 CONSIDERED_RELEVANT 1801583
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 405330
ACTION DOC 1200 58 EXAMINING_DOCUMENT 405330
ACTION SNIPPET 1200 58 SNIPPET_RELEVANT 1445528
ACTION DOC 1200 78 EXAMINING_DOCUMENT 1445528
ACTION MARK 1200 81 CONSIDERED_RELEVANT 1445528
ACTION SNIPPET 1200 81 SNIPPET_RELEVANT 1543688
ACTION DOC 1200 101 EXAMINING_DOCUMENT 1543688
ACTION MARK 1200 104 CONSIDERED_RELEVANT 1543688
ACTION SNIPPET 1200 104 SNIPPET_RELEVANT 1326070
ACTION DOC 1200 124 EXAMINING_DOCUMENT 1326070
ACTION MARK 1200 127 CONSIDERED_RELEVANT 1326070
ACTION SNIPPET 1200 127 SNIPPET_RELEVANT 1328880
ACTION DOC 1200 147 EXAMINING_DOCUMENT 1328880
ACTION MARK 1200 150 CONSIDERED_RELEVANT 1328880
ACTION QUERY 1200 160 tunnel accidents
ACTION SERP 1200 165 EXAMINE_SERP
ACTION SNIPPET 1200 165 SNIPPET_RELEVANT 1338635
ACTION DOC 1200 185 EXAMINING_DOCUMENT 1338635
ACTION MARK 1200 188 CONSIDERED_RELEVANT 1338635
ACTION SNIPPET 1200 188 SNIPPET_RELEVANT 1337126
ACTION DOC 1200 208 EXAMINING_DOCUMENT 1337126
ACTION MARK 1200 211 CONSIDERED_RELEVANT 1337126
ACTION SNIPPET 1200 211 SNIPPET_RELEVANT 1338008
ACTION DOC 1200 231 EXAMINING_DOCUMENT 1338008
ACTION MARK 1200 234 CONSIDERED_RELEVANT 1338008
ACTION SNIPPET 1200 234 SNIPPET_RELEVANT 1378220
ACTION DOC 1200 254 EXAMINING_DOCUMENT 1378220
ACTION MARK 1200 257 CONSIDERED_RELEVANT 1378220
ACTION SNIPPET 1200 257 SNIPPET_RELEVANT 1401
ACTION DOC 1200 277 EXAMINING_DOCUMENT 1401
ACTION MARK 1200 280 CONSIDERED_RELEVANT 1401
ACTION QUERY 1200 290 transportation accidents
ACTION SERP 1200 295 EXAMINE_SERP
ACTION SNIPPET 1200 295 SNIPPET_RELEVANT 18562
