ACTION START 1200 0 START
ACTION QUERY 1200 10 estrogen postmenopausal britain
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 1587072
ACTION DOC 1200 35 EXAMINING_DOCUMENT 1587072
ACTION MARK 1200 38 CONSIDERED_RELEVANT 1587072
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 1280589
ACTION DOC 1200 58 EXAMINING_DOCUMENT 1280589
ACTION MARK 1200 61 CONSIDERED_RELEVANT 1280589
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT 768937
ACTION DOC 1200 81 EXAMINING_DOCUMENT 768937
ACTION MARK 1200 84 CONSIDERED_RELEVANT 768937
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT 16397
ACTION DOC 1200 104 EXAMINING_DOCUMENT 16397
ACTION MARK 1200 107 CONSIDERED_RELEVANT 16397
ACTION SNIPPET 1200 107 SNIPPET_NOT_RELEVANT 290162
ACTION SNIPPET 1200 107 SNIPPET_RELEVANT 837869
ACTION DOC 1200 127 EXAMINING_DOCUMENT 837869
ACTION SNIPPET 1200 127 SNIPPET_NOT_RELEVANT 608952
ACTION SNIPPET 1200 127 SNIPPET_RELEVANT 1575489
ACTION DOC 1200 147 EXAMINING_DOCUMENT 1575489
ACTION MARK 1200 150 CONSIDERED_RELEVANT 1575489
ACTION QUERY 1200 160 estrogen postmenopausal united
ACTION SERP 1200 165 EXAMINE_SERP
ACTION SNIPPET 1200 165 SEEN_PREVIOUSLY 1587072
ACTION SNIPPET 1200 165 SEEN_PREVIOUSLY 1280589
ACTION SNIPPET 1200 165 SEEN_PREVIOUSLY 768937
ACTION SNIPPET 1200 165 SEEN_PREVIOUSLY 16397
ACTION SNIPPET 1200 165 SNIPPET_RELEVANT 290162
ACTION DOC 1200 185 EXAMINING_DOCUMENT 290162
ACTION SNIPPET 1200 185 SNIPPET_RELEVANT 918568
ACTION DOC 1200 205 EXAMINING_DOCUMENT 918568
ACTION MARK 1200 208 CONSIDERED_RELEVANT 918568
ACTION SNIPPET 1200 208 SNIPPET_RELEVANT 893402
ACTION DOC 1200 228 EXAMINING_DOCUMENT 893402
ACTION MARK 1200 231 CONSIDERED_RELEVANT 893402
ACTION SNIPPET 1200 231 SEEN_PREVIOUSLY 837869
ACTION SNIPPET 1200 231 SNIPPET_RELEVANT 608952
ACTION DOC 1200 251 EXAMINING_DOCUMENT 608952
ACTION MARK 1200 254 CONSIDERED_RELEVANT 608952
ACTION SNIPPET 1200 254 SEEN_PREVIOUSLY 1575489
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT 888096
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT 977697
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT 819667
ACTION SNIPPET 1200 254 SNIPPET_RELEVANT 497560
ACTION DOC 1200 274 EXAMINING_DOCUMENT 497560
ACTION MARK 1200 277 CONSIDERED_RELEVANT 497560
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT 880697
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT 278012
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT 1172980
ACTION SNIPPET 1200 277 SNIPPET_RELEVANT 1403324
ACTION DOC 1200 297 EXAMINING_DOCUMENT 1403324
ACTION MARK 1200 300 CONSIDERED_RELEVANT 1403324
ACTION QUERY 1200 310 estrogen postmenopausal kingdom
ACTION SERP 1200 315 EXAMINE_SERP
ACTION SNIPPET 1200 315 SEEN_PREVIOUSLY 1587072
ACTION SNIPPET 1200 315 SEEN_PREVIOUSLY 1280589
ACTION SNIPPET 1200 315 SEEN_PREVIOUSLY 768937
ACTION SNIPPET 1200 315 SEEN_PREVIOUSLY 16397
ACTION SNIPPET 1200 315 SEEN_PREVIOUSLY 290162
ACTION SNIPPET 1200 315 SEEN_PREVIOUSLY 837869
